world_cup,release_date,usage,rank,points,team,team_key,source_url
2014,2014-06-05,pre_tournament,1,1485.0,Spain,spain,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,2,1300.0,Germany,germany,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,3,1242.0,Brazil,brazil,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,4,1189.0,Portugal,portugal,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,5,1175.0,Argentina,argentina,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,6,1149.0,Switzerland,switzerland,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,7,1147.0,Uruguay,uruguay,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,8,1137.0,Colombia,colombia,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,9,1104.0,Italy,italy,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,10,1090.0,England,england,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,11,1074.0,Belgium,belgium,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,12,1064.0,Greece,greece,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,13,1035.0,USA,usa,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,14,1026.0,Chile,chile,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,15,981.0,Netherlands,netherlands,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,16,915.0,Ukraine,ukraine,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,17,913.0,France,france,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,18,903.0,Croatia,croatia,https://en.fifaranking.net/ranking/?d=2014-06-05
2014,2014-06-05,pre_tournament,19,893.0,Russia,russia,https://en.fifaranking.net/ranking/?d=2014-06-05
